,EmbryoID,RNAi,StageSimple,TimeMin,MeanMembAnt,MeanCytoAnt,MeanMembCytoAntRatio,MeanMembPost,MeanCytoPost,MeanMembCytoPostRatio,ASI,ASINormtot1
1, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,0,216.8673274,248.5572304,0.872504602,19.20976594,55.97326306,0.343195392,0.418629268,1
2, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,2.333333333,307.3183916,251.4881096,1.221999688,17.96877346,67.17052163,0.26750981,0.444760275,1.062420403
3, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,4.666666667,327.7982157,258.9624482,1.265813704,27.65161664,66.45220211,0.416112872,0.422206697,1.008545577
4, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,7,313.6892239,265.8796169,1.179816744,17.30501374,60.89262962,0.284188971,0.447718082,1.069485858
5, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,9.333333333,362.4671432,270.7958893,1.338525279,16.05067229,73.63589692,0.217973474,0.457595993,1.093081702
6, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,11.66666667,380.1688842,251.9476608,1.508920079,18.59754806,56.36317068,0.329959224,0.453362303,1.082968483
7, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,14,389.852391,275.797479,1.413545883,20.59196609,67.37264435,0.305642836,0.449830067,1.074530858
8, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,16.33333333,431.1583196,285.1900208,1.511828213,4.880571227,59.47731655,0.08205769,0.488807028,1.167637013
9, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,18.66666667,428.3654296,282.1356871,1.518295803,18.13396263,60.99135488,0.297320213,0.459386367,1.097358455
10, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,21,475.4751496,276.4978246,1.719634324,23.63533495,38.86207806,0.608185052,0.452645084,1.081255228
11, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,23.33333333,477.4537874,287.4135729,1.661208211,30.70924859,25.4604878,1.20615319,0.439568118,1.050017645
12, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,25.66666667,510.8766295,304.2659707,1.679046225,31.46293201,51.04926307,0.616324901,0.441986655,1.055794922
13, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,28,511.1442017,293.3323019,1.742543179,50.0691975,28.18552203,1.776415475,0.410784031,0.981259702
14, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,30.33333333,510.7833884,300.9507449,1.697232511,38.68968225,39.69666176,0.974633144,0.429587664,1.026176852
15, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,32.66666667,529.4452543,303.7507682,1.743025235,26.67743489,28.3976535,0.939423917,0.452029587,1.07978496
16, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,35,530.6438759,314.580929,1.686827862,33.7033283,25.76025178,1.30834623,0.440279091,1.05171598
17, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,37.33333333,552.9649164,294.7850336,1.875824256,26.1952732,31.38254626,0.834708343,0.454770245,1.086331703
18, 02Jun22_kk1216_ctrlRNAi_CH1_Stage4_postNEBD,ctrlRNAi,late maint.,39.66666667,538.666135,301.4557643,1.786882849,39.80308431,35.45860911,1.122522437,0.43119239,1.030010139
