EmbryoID,CellCycle,Stage,RNAi,ASI_1,ASI_2,ASI_3,ASI_4,ASI_5,ASI_6,ASI_7,ASI_8,ASI_9,ASI_10,ASI_11,ASI_12,ASI_13,ASI_14,ASI_15,ASI_16,ASI_17,ASI_18,ASI_19,ASI_20,ASI_21,ASI_22,ASI_23,ASI_24,ASI_25,ASI_26,ASI_27,ASI_28,ASI_29,ASI_30,ASI_31,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7,Time_8,Time_9,Time_10,Time_11,Time_12,Time_13,Time_14,Time_15,Time_16,Time_17,Time_18,Time_19,Time_20,Time_21,Time_22,Time_23,Time_24,Time_25,Time_26,Time_27,Time_28,Time_29,Time_30,Time_31,ASI_Norm_1,ASI_Norm_2,ASI_Norm_3,ASI_Norm_4,ASI_Norm_5,ASI_Norm_6,ASI_Norm_7,ASI_Norm_8,ASI_Norm_9,ASI_Norm_10,ASI_Norm_11,ASI_Norm_12,ASI_Norm_13,ASI_Norm_14,ASI_Norm_15,ASI_Norm_16,ASI_Norm_17,ASI_Norm_18,ASI_Norm_19,ASI_Norm_20,ASI_Norm_21,ASI_Norm_22,ASI_Norm_23,ASI_Norm_24,ASI_Norm_25,ASI_Norm_26,ASI_Norm_27,ASI_Norm_28,ASI_Norm_29,ASI_Norm_30,ASI_Norm_31
22Nov23_kk1216_cdc42RNAi_CH1_Stage1_proMeet,50,early maint.,cdc42RNAi,0.365219752,0.422338044,0.557688289,0.404786906,0.416026564,0.411485451,0.389547039,0.403904202,0.384141034,0.388970812,0.331759735,0.384535012,0.36210725,0.373607245,0.362198165,0.386150928,0.399752306,0.393576041,0.392789211,0.333713548,0.409320195,0.352675418,0.360651895,0.38717794,0.393767624,0.340250047,0.322172664,0.359734598,0.326973915,0.394065532,0.351434969,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,0.838047646,0.969113529,1.27969354,0.928839997,0.954630959,0.944210742,0.893869996,0.92681451,0.881465164,0.892547764,0.761268971,0.882369203,0.830905576,0.857293917,0.831114191,0.886077146,0.917287405,0.903115104,0.901309613,0.765752267,0.939242262,0.809262921,0.827566059,0.888433768,0.903554718,0.780751174,0.739270098,0.825461195,0.750287239,0.904238309,0.806416537
22Nov23_kk1216_cdc42RNAi_CH1_Stage4_proMeet,41.7,early maint.,cdc42RNAi,0.473662267,0.410027623,0.422741669,0.417436462,0.409707183,0.357492925,0.347839213,0.421446228,0.341191445,0.318956497,0.322988144,0.351342361,0.310265883,0.354844137,0.326509519,0.35178041,0.201496438,0.315491675,0.245089445,0.312615889,0.278214406,0.288567596,0.253825655,0.243615197,0.226108323,0.298460657,0.277204091,0.254464617,0.235574,0.265330703,0.263257592,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,1.042696984,0.902614786,0.930602867,0.918924244,0.901909386,0.786967468,0.765716258,0.927751146,0.751082186,0.702135256,0.711010327,0.773427917,0.683004164,0.781136555,0.71876211,0.774392217,0.44356442,0.694507968,0.539527936,0.688177352,0.612447607,0.635238614,0.558759401,0.536282597,0.49774382,0.657016715,0.610223548,0.560165982,0.518581101,0.584086053,0.579522407
22Nov23_kk1216_cdc42RNAi_CH2_Stage5_postNEBD,83.3,late maint.,cdc42RNAi,0.394423436,0.390194249,0.687973649,0.292682721,0.417165021,0.283256565,0.280744289,0.324557751,0.222179652,0.278875362,0.256268009,0.248784747,0.182694793,0.212899115,0.191533415,0.192358753,0.125240419,0.168015299,0.181477387,0.174396141,0.143326986,0.182288727,0.162463815,0.183150059,0.179530786,0.186206225,0.161083601,0.107171236,0.148964423,0.170529402,0.156113556,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,0.809440224,0.800761039,1.41186728,0.600646781,0.85611076,0.581302317,0.576146595,0.666061077,0.455959587,0.572311164,0.525916098,0.510558864,0.374928314,0.436913965,0.393067034,0.394760802,0.257019801,0.344802891,0.37242994,0.357897728,0.294137256,0.374094981,0.333410074,0.375862617,0.368435103,0.382134515,0.330577582,0.21993802,0.305706468,0.349962361,0.320378001
22Nov23_kk1216_cdc42RNAi_CH2_Stage6_poostNEBD,83.3,late maint.,cdc42RNAi,0.457861524,0.36738827,0.394424571,0.324667957,0.225305262,0.250993535,0.181521065,0.115393923,0.114450806,0.136094467,0.102085026,0.092931795,0.073263128,0.015834766,-0.009932183,0.005937789,-0.000311891,-0.025584937,-0.007747486,-0.042669092,-0.073296806,-0.034745883,-0.025004729,-0.085773173,0.015696195,-0.05140528,-0.027234538,-0.036750074,-0.040430324,-0.037001432,-0.057676503,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,0.978518941,0.78516399,0.842944632,0.693864257,0.481511232,0.536410936,0.387937817,0.246614168,0.244598587,0.290854345,0.218171054,0.198609224,0.156574323,0.033841277,-0.02122657,0.012689949,-0.000666559,-0.054678859,-0.016557544,-0.091190266,-0.156646298,-0.074257179,-0.053438866,-0.183310172,0.033545129,-0.109860815,-0.058204304,-0.078540436,-0.086405684,-0.079077626,-0.123263363
22Nov23_kk1216_cdc42RNAi_CH3_Stage2_centration,58.3,late maint.,cdc42RNAi,0.257538771,0.455981007,0.606512973,0.326212552,0.323497405,0.342637386,0.243685571,0.341859881,0.273989776,0.301672567,0.149410884,0.211619326,0.131204096,0.149602323,0.159094444,0.2028316,0.189636304,0.152169445,0.146527782,0.136251743,0.20686369,0.192661795,0.193540632,0.176701885,0.227863931,0.145142728,0.203733185,0.161838316,0.202084954,0.099223416,0.216423618,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,0.581716273,1.029948115,1.369962528,0.736833328,0.730700485,0.773932959,0.550425326,0.772176768,0.618875017,0.681403582,0.337482167,0.477995623,0.296357545,0.337914581,0.359354931,0.458146329,0.428341425,0.343713072,0.330969954,0.307758928,0.46725382,0.435175258,0.437160334,0.399125777,0.514688161,0.327841461,0.460182787,0.365552658,0.45645984,0.224121113,0.488847328
22Nov23_kk1216_cdc42RNAi_CH4_Stage3_centration,58.3,late maint.,cdc42RNAi,0.318874981,0.701909623,0.282130543,0.468970268,0.233361709,0.148701539,0.164980502,0.132163957,0.006528656,0.089400033,0.11346369,0.096988416,0.105330841,0.02867815,0.070655764,0.057637008,0.076150004,0.059964684,0.12879928,0.06706233,0.045328182,0.054928179,0.005273155,0.146937428,0.077567141,0.099615157,0.097702162,0.089478939,0.005824768,0.171333287,0.163408627,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,0.609463983,1.341555969,0.539234541,0.896340271,0.446022939,0.284212426,0.315326319,0.252604239,0.012478184,0.170869787,0.216862522,0.185373421,0.201318253,0.05481239,0.13504397,0.110161293,0.14554508,0.114610167,0.246173349,0.128175859,0.086635503,0.104983924,0.010078552,0.280840691,0.148253646,0.190393897,0.1867376,0.1710206,0.011132847,0.327468362,0.312322002
22Nov23_kk1216_cdc42RNAi_CH4_Stage5_postNEBD,83.3,late maint.,cdc42RNAi,0.642420105,0.395572912,0.45930066,0.502934374,0.403749917,0.395749629,0.353826682,0.274581327,0.126807648,0.192087175,0.184807118,0.192317856,0.159122473,0.143220487,0.158306369,0.189680179,0.087348903,0.132214547,0.092769847,0.101605194,0.076679741,0.124802172,0.106077134,0.128186135,0.084311689,0.11374787,0.136997326,0.096819574,0.202027154,0.13907021,0.095912856,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,1.059398848,0.652329347,0.757421174,0.829376435,0.665813839,0.652620766,0.583486688,0.452805166,0.209115304,0.316766132,0.304760773,0.317146542,0.26240487,0.236181306,0.261059053,0.312796815,0.144044881,0.218031687,0.152984423,0.167554572,0.126450634,0.205808124,0.174929135,0.211388534,0.139036287,0.187578753,0.225918847,0.159662726,0.333157902,0.229337188,0.158167481
22Nov23_kk1216_cdc42RNAi_CH4_Stage7_proMeet,59,early maint.,cdc42RNAi,0.388645336,0.407910954,0.424905363,0.441041915,0.367006577,0.34891806,0.356387708,0.423742632,0.286020349,0.314930183,0.298528954,0.311091625,0.35433573,0.334291456,0.33169928,0.332257248,0.298809969,0.319038152,0.276726031,0.318082386,0.32376602,0.297178905,0.31607425,0.280641886,0.306274029,0.288987703,0.280033816,0.307231885,0.28270296,0.305600336,0.310080292,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,0.917447511,0.96292649,1.003043987,1.041136401,0.866366424,0.823666143,0.841299212,1.00029921,0.675187974,0.74343337,0.704716151,0.734371958,0.836455255,0.789138156,0.783018989,0.784336145,0.705379524,0.753130761,0.653247535,0.750874554,0.764291504,0.701529187,0.746134088,0.662491418,0.722999401,0.682192797,0.661055989,0.725260544,0.667356848,0.721409063,0.731984578
22Nov23_kk1216_cdc42RNAi_CH5_Stage3_postNEBD,83.3,late maint.,cdc42RNAi,0.378714254,0.330831491,0.447955266,0.259003532,0.279618868,0.275644905,0.275853753,0.311068165,0.202791457,0.183163456,0.136839128,0.243926404,0.178444087,0.123072137,0.182648478,0.078505865,0.120841347,0.105867167,0.098131242,0.108530237,0.14768094,0.159168676,0.145370897,0.127376966,0.119445737,0.107876105,0.111582162,0.211203617,0.127476462,0.082876963,0.090137154,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,0.932589169,0.814677191,1.103096133,0.637799834,0.688565388,0.67877945,0.679293741,0.766009725,0.499376811,0.451042582,0.336968275,0.600672196,0.43942107,0.303066865,0.449774441,0.193321794,0.297573513,0.260699385,0.241649561,0.267257232,0.363666389,0.3919551,0.357977876,0.313667568,0.294136806,0.265646424,0.274772642,0.520091874,0.313912578,0.204085686,0.221964007
29May22_kk1216_cdc42RNAi_CH2_Stage1_proMeet,41.7,early maint.,cdc42RNAi,0.419570974,0.426226216,0.48681508,0.423926993,0.444381264,0.489917237,0.44567982,0.433699992,0.436365076,0.402431597,0.429973629,0.419451278,0.405466946,0.4280156,0.383830895,0.380223391,0.401661658,0.40526811,0.400908878,0.41585473,0.428590222,0.434610834,0.427780431,0.416333809,0.433833406,0.445926005,0.451087747,0.407694524,,,,0,2.166666667,4.333333333,6.5,8.666666667,10.83333333,13,15.16666667,17.33333333,19.5,21.66666667,23.83333333,26,28.16666667,30.33333333,32.5,34.66666667,36.83333333,39,41.16666667,43.33333333,45.5,47.66666667,49.83333333,52,54.16666667,56.33333333,58.5,,,,0.933557466,0.948365571,1.083177532,0.943249733,0.988761073,1.090079922,0.991650399,0.964994936,0.970924825,0.895421859,0.956703672,0.933291139,0.902175599,0.952347001,0.854034764,0.846007965,0.893708723,0.901733183,0.892033767,0.925288717,0.953625553,0.967021587,0.951823744,0.926354681,0.965291788,0.992198168,1.00368319,0.907132024,,,
