"","Embryo","RNAiSimple","StageSimple","TimeMin","NumParticleFrameNormAreaPAratio"
"1","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",0,0.443030832220999
"2","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",1,0.449451568919854
"3","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",2,0.480921627082006
"4","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",3,0.502273327227296
"5","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",4,0.469881185688939
"6","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",5,0.525242739231082
"7","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",6,0.542712769470724
"8","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",7,0.553788540276249
"9","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",8,0.574299226953147
"10","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",9,0.605065256968495
"11","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",10,0.631422447791611
"12","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",11,0.662476010797756
"13","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",12,0.622352835739023
"14","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",13,0.553788540276249
"15","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",14,0.499879921311305
"16","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",15,0.461490450230208
"17","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",16,0.448522949975805
"18","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",17,0.497471061604088
"19","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",18,0.539086189649446
"20","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",19,0.548612946441892
"21","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",20,0.538546653846628
"22","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",21,0.564043883614698
"23","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",22,0.548707911466375
"24","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",23,0.511993178745966
"25","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",24,0.511993178745966
"26","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",25,0.507208195767032
"27","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",26,0.548707911466375
"28","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",27,0.518864938637207
"29","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",28,0.506857308049449
"30","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",29,0.553788540276249
"31","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",30,0.563336618556874
"32","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",31,0.583455783505334
"33","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",32,0.582432775118124
"34","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",33,0.549134855063844
"35","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",34,0.583455783505334
"36","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",35,0.553788540276249
"37","02Jun22_kk1216_pkc3RNAi_41h_CH4_proMeet_1","pkc3","early maint.",36,0.598690313812161
